Project,FilePath,ClassName,ClassType,Status,ReplacedBy,Notes
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductAdminSupportPortalController.cs,ProductAdminSupportPortalController,Controller,Converted,IManageProductAdminSupportPortalAsync + IManagePersonaAsync,new ManageProductAdminSupportPortal(userClaim) anti-pattern encapsulated in IManageProductAdminSupportPortalAsync (userClaim passed per-call since legacy class requires it at ctor time); IManagePersona→IManagePersonaAsync; Task.Run() removed from all 5 actions; ListClientPortalMigrationUsers reflection-based IsError check replaced with structured persona null check → 403; CancellationToken added to all 5 actions
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductAssetOptimizationController.cs,ProductAssetOptimizationController,Controller,Converted,IManageProductAssetOptimizationAsync + IManagePersonaAsync,new ManageProductAssetOptimization(userClaim) anti-pattern encapsulated in IManageProductAssetOptimizationAsync (userClaim passed per-call); IManagePersona→IManagePersonaAsync; Task.Run() removed from all 9 actions; ListAssetOptimizationMigrationUsers reflection-based IsError check replaced with structured persona null check → 403; result?.IsError==true Forbidden checks preserved for 6 GET actions; CancellationToken added to all 9 actions
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductController.cs,ProductController,Controller,Converted,IManageProductAsync + IUserLoginRepositoryAsync + ISamlRepositoryAsync + IProductRepositoryAsync + IManageBlueBookAsync + IManagePersonaAsync,6 sync deps swapped to async equivalents; IManageProductAsync extended with 9 new methods (GetProductUsersAsync/GetProductFamiliesAsync/GetProductSettingByTypeAsync/CreateProductSettingAndLinkToConfigurationAsync/ListProductSettingTypeAsync/GetProductTypesAsync/ListProductsAsync/GetAdGroupsForProductAsync/GetAdGroupsForUserAsync); Task.Run() removed from 14 call sites; private GetPersonaAsync renamed GetAndValidatePersonaAsync to avoid name collision with injected IManagePersonaAsync; Task.Run() preserved only for static calls (LogActivity.WriteActivity+BaseUserRights.GetImpersonatedUserRights+rpsaml SAML legacy helpers); CancellationToken added to all public actions
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductEasyLMSController.cs,ProductEasyLMSController,Controller,Converted,IManageProductEasyLMSAsync + IManageProductAsync + ISamlRepositoryAsync + IProductRepositoryAsync,Task.Run<IActionResult>() block unwrapped to sequential awaits; new ManagePersona() dead code removed; new ManageProduct(userClaim) replaced by IManageProductAsync.GetProductInternalSettingsAsync; new ManageProductEasyLMS(userClaim) encapsulated in IManageProductEasyLMSAsync (userClaim per-call); new ManageSaml() replaced by ISamlRepositoryAsync; new ProductRepository() replaced by IProductRepositoryAsync; private GetAsync renamed GetEasyLMSResponseAsync and made truly async (await client.GetAsync + await ReadAsStringAsync replacing .Result blocking); CancellationToken added to action and private helper
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductInvokerController.cs,ProductInvokerController,Controller,Converted,IProductRepositoryAsync,Task.Run removed; IProductRepository → IProductRepositoryAsync; GetAllProductsAsync(ct) used; IIntegrationTypeFactory kept sync (in-memory)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductLead2LeaseController.cs,ProductLead2LeaseController,Controller,Converted,IManageProductLead2LeaseAsync,new-inside-ctor removed; IManageProductLead2LeaseAsync + IManagePersonaAsync injected; all 5 actions async with CancellationToken
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductLearningPortalController.cs,ProductLearningPortalController,Controller,Converted,IManageProductAsync,new-inside-ctor removed; IManageProductAsync + ISamlRepositoryAsync + IProductRepositoryAsync + IHttpClientFactory injected; blocking .Result removed; AddActivityLogAsync uses IProductRepositoryAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductMarketingCenterController.cs,ProductMarketingCenterController,Controller,Converted,IManageProductMarketingCenterAsync,IManageProductMarketingCenterAsync + IManagePersonaAsync + IManagePerson + IManageUserLogin + IManageUserRoleRight injected; all 14 actions async with CancellationToken
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductOneSiteAccountingController.cs,ProductOneSiteAccountingController,Controller,Converted,IManageProductOneSiteAccountingAsync,Hybrid: IManageProductOneSiteAccounting kept for sync ops; IManageProductOneSiteAccountingAsync added for per-call userClaim ops; Task.Run wrappers removed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductOneSiteController.cs,ProductOneSiteController,Controller,Converted,IManageProductOneSiteAsync,Task.Run removed from all 24 actions; new ManageProductOneSite(userClaim) in ListOneSiteMigrationUsers replaced with IManageProductOneSiteAsync.GetMigrationUsersAsync; IManagePersona replaced with IManagePersonaAsync; GetPersonaIdForUpfmAsync Task.Run removed; 8-param ctor
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductOnSiteController.cs,ProductOnSiteController,Controller,Converted,IManageProductOneSiteAsync,Full refactor: new 3-param ctor (IUserClaimsAccessor + IManageProductOneSiteAsync + IManagePersonaAsync); all 6 actions use injected async services; Task.Run removed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductOpsController.cs,ProductOpsController,Controller,Converted,IManageProductOpsAsync,Task.Run removed from all actions; new ManageProductOps(userClaim) in ListOpsMigrationUsers replaced with IManageProductOpsAsync.GetMigrationUsersAsync; IManagePersona replaced with IManagePersonaAsync; GetPersonaIdForUpfmAsync Task.Run removed; 8-param ctor
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductPanelController.cs,ProductPanelController,Controller,Converted,IManageProductPanel (sync kept),Task.Run removed from GetUserGroups and GetPropertiesPost; new ManagePerson/ManageUserLogin/ManageUserRoleRight/ManagePersona() in RecreateClaimsForClient replaced with injected deps; no new async interface needed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductProspectContactController.cs,ProductProspectContactController,Controller,Converted,IManageProductProspectContactAsync,Full refactor: new 3-param ctor (IUserClaimsAccessor + IManageProductProspectContactAsync + IManagePersonaAsync); all 4 actions use injected async services; Task.Run removed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductRentersInsuranceController.cs,ProductRentersInsuranceController,Controller,Converted,IManageProductRentersInsuranceAsync,Full refactor: new 3-param ctor (IUserClaimsAccessor + IManageProductRentersInsuranceAsync + IManagePersonaAsync); all 5 actions async; Task.Run removed; ManagePersona() → IManagePersonaAsync.GetPersonaAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductResidentPortalController.cs,ProductResidentPortalController,Controller,Converted,IManageProductResidentPortalAsync,Full refactor: new 3-param ctor (IUserClaimsAccessor + IManageProductResidentPortalAsync + IManagePersonaAsync); all 9 actions async; Task.Run removed; ObjectOutput<T> wrappers preserved (API contract)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductRPDMController.cs,ProductRPDMController,Controller,Converted,IManageProductRPDocumentManagementAsync,Surgical edits: 4-param ctor adds IManagePersonaAsync + IManageProductRPDocumentManagementAsync; sync actions use Task.FromResult; IManagePersona replaced with IManagePersonaAsync; migration action fully async
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductRumController.cs,ProductRumController,Controller,Converted,IManageProductRumAsync,Full refactor: new 3-param ctor (IUserClaimsAccessor + IManageProductRumAsync + IManagePersonaAsync); all 7 actions async; Task.Run removed; GetRegionss typo preserved (no contract breaking)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductUserController.cs,ProductUserController,Controller,Converted,IManageProductUserAsync,Full refactor: new 2-param ctor (IUserClaimsAccessor + IManageProductUserAsync); all 4 actions async; Task.Run removed; used IManageProductUserAsync (not IUserService — CSV note was stale)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProductVendorServicesController.cs,ProductVendorServicesController,Controller,Converted,IManageProductVendorServicesAsync,Full refactor: 3-param ctor (IUserClaimsAccessor + IManageProductVendorServicesAsync + IManagePersonaAsync); all 7 actions async; Task.Run removed; ListVendorServiceMigrationUsers uses GetPersonaAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/ProfileController.cs,ProfileController,Controller,Converted,IManageProfileAsync,Full refactor: 2-param ctor (IUserClaimsAccessor + IManageProfileAsync); class-level fields removed; all 4 actions async; GetProfileDetail(org) bug preserved (returns empty Profile not profileDetail)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/RelationshipTypeController.cs,RelationshipTypeController,Controller,Converted,IManageRelationshipTypeAsync,Full refactor: 2-param ctor (IUserClaimsAccessor + IManageRelationshipTypeAsync); both actions async; Task.Run removed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/RoleTypeController.cs,RoleTypeController,Controller,Converted,IManageRoleTypeAsync,Full refactor: 3-param ctor (IUserClaimsAccessor + IManageRoleTypeAsync + IManagePersonaAsync); single action async; persona lookup in controller for User Role branch; Task.Run removed
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/SamlController.cs,SamlController,Controller,Converted,ISamlRepositoryAsync,Full refactor: 2-param ctor (IUserClaimsAccessor + ISamlRepositoryAsync); all 6 actions async; Task.Run removed; ProductRepository.ListProducts kept as direct sync (no async equivalent)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/StatusTypeController.cs,StatusTypeController,Controller,Not-Converted,,Injected: IUserClaimsAccessor; new-inside-ctor → inject IStatusTypeRepositoryAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/TelecommunicationNumberController.cs,TelecommunicationNumberController,Controller,Not-Converted,,Injected: IUserClaimsAccessor; new-inside-ctor → inject ITelecommunicationNumberRepositoryAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UnifiedLoginController.cs,UnifiedLoginController,Controller,Not-Converted,IUnifiedLoginServiceAsync,Injected: IUserClaimsAccessor; new IManageUnifiedLogin; new IManageOrganization; Task.Run(); ClaimsPrincipal.Current → replace with IManageUnifiedLoginAsync + IManageOrganizationAsync + IUnifiedLoginServiceAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UnifiedSettingsController.cs,UnifiedSettingsController,Controller,Not-Converted,IManageUnifiedSettingsAsync,Injected: IUserClaimsAccessor; new-inside-ctor → replace with IManageUnifiedSettingsAsync (already exists)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UserController.cs,UserController,Controller,Not-Converted,IUserService,Injected: IUserClaimsAccessor; new-inside-ctor; CreateUser/UpdateUser most complex → replace with IUserService + IUserCreationService + IUserQueryService (all already exist)
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UserLoginController.cs,UserLoginController,Controller,Not-Converted,IManageUserLoginAsync,Injected: IUserClaimsAccessor; new IManageUserLogin; new IRepositoryResponse; IRepository(opt); Task.Run() → replace with IManageUserLoginAsync + IUserService
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UserNotificationController.cs,UserNotificationController,Controller,Not-Converted,,Injected: IUserClaimsAccessor; new-inside-ctor → inject ICommunicationEventRepositoryAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UserPropertiesSyncController.cs,UserPropertiesSyncController,Controller,Not-Converted,IUnifiedLoginServiceAsync,Injected: IUserClaimsAccessor; new-inside-ctor; RecreateClaimsForClient dupe → replace with IUnifiedLoginServiceAsync
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/UserPropertyController.cs,UserPropertyController,Controller,Not-Converted,,Injected: IUserClaimsAccessor; new-inside-ctor → inject IUserService or IUserQueryService
UnifiedLogin.LandingAPI,CoreMigration/UnifiedLogin.LandingAPI/Controllers/WebHookController.cs,WebHookController,Controller,Not-Converted,IWebHookServiceAsync,Injected: 8 new-anti-pattern deps; System.Runtime.Caching; Task.Run(); AllowAnonymous POST webhook/books → replace with IWebHookServiceAsync; preserve AllowAnonymous
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ManagePersonaAsync.cs,ManagePersonaAsync,Logic,Converted,,Implements IManagePersonaAsync; used by PersonaV2Controller (reference implementation)
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ManageUserRoleRightAsync.cs,ManageUserRoleRightAsync,Logic,Converted,,Implements IManageUserRoleRightAsync; used by PersonaV2Controller
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ManageBlueBookAsync.cs,ManageBlueBookAsync,Logic,Converted,,Implements IManageBlueBookAsync; async replacement for IManageBlueBook
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ManageUnifiedLoginAsync.cs,ManageUnifiedLoginAsync,Logic,Converted,,Implements IManageUnifiedLoginAsync; async replacement for IManageUnifiedLogin
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ManageUnifiedSettingsAsync.cs,ManageUnifiedSettingsAsync,Logic,Converted,,Implements IManageUnifiedSettingsAsync; async replacement for IManageUnifiedSettings
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ProductAuditServiceAsync.cs,ProductAuditServiceAsync,Logic,Converted,,Async product audit service
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ProductContextServiceAsync.cs,ProductContextServiceAsync,Logic,Converted,,Async product context service
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/ProductSettingServiceAsync.cs,ProductSettingServiceAsync,Logic,Converted,,Async product setting service
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/LogicAsync/SamlAttributeServiceAsync.cs,SamlAttributeServiceAsync,Logic,Converted,,Async SAML attribute service; SamlController should inject this instead of using base class new-anti-pattern
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/ProductService.cs,ProductService,Logic,Converted,,Implements IProductService; used by PersonaV2Controller; replaces IManageProduct for read operations
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/UserService.cs,UserService,Logic,Converted,,Implements IUserService; replaces UserController new-anti-pattern; UserLoginController Task.Run() pattern
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/Profile/ProfileService.cs,ProfileService,Logic,Converted,,Implements IProfileService; replaces ProfileController new-anti-pattern
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/User/UserCreationService.cs,UserCreationService,Logic,Converted,,Implements IUserCreationService; CreateUser orchestration extracted from controller
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/User/UserQueryService.cs,UserQueryService,Logic,Converted,,Implements IUserQueryService; query/list operations extracted from controller
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/Product/ProductBatchService.cs,ProductBatchService,Logic,Converted,,Implements IProductBatchService; batch processing; BatchProcessController should inject this
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Services/Audit/UserAuditService.cs,UserAuditService,Logic,Converted,,Implements IUserAuditService; audit trail service
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageSecurity.cs,ManageSecurity,Logic,Not-Converted,ManageSecurityAsync,Implements IManageSecurity; sync → create IManageSecurityAsync + ManageSecurityAsync in LogicAsync/
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageProduct.cs,ManageProduct,Logic,Not-Converted,ProductService,Implements IManageProduct; sync → IProductService (Services/) covers most operations
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageBlueBook.cs,ManageBlueBook,Logic,Not-Converted,ManageBlueBookAsync,Implements IManageBlueBook (sync); superseded by ManageBlueBookAsync (LogicAsync/); IManageBlueBook DI registration preserved for backward compat
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageConfigurationSetting.cs,ManageConfigurationSetting,Logic,Not-Converted,ManageConfigurationSettingAsync,Implements IManageConfigurationSetting; sync → create IManageConfigurationSettingAsync + ManageConfigurationSettingAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageContactMechanism.cs,ManageContactMechanism,Logic,Not-Converted,ManageContactMechanismAsync,Implements IManageContactMechanism; sync → create IManageContactMechanismAsync + ManageContactMechanismAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageElectronicAddress.cs,ManageElectronicAddress,Logic,Not-Converted,ManageElectronicAddressAsync,Implements IManageElectronicAddress; sync → create IManageElectronicAddressAsync + ManageElectronicAddressAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageCredential.cs,ManageCredential,Logic,Not-Converted,ManageCredentialAsync,Implements IManageCredential; sync → create IManageCredentialAsync + ManageCredentialAsync; also wrapped by ICredentialServiceAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageEmail.cs,ManageEmail,Logic,Not-Converted,ManageEmailAsync,Implements IManageEmail; sync → create IManageEmailAsync + ManageEmailAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageEmployeeAccess.cs,ManageEmployeeAccess,Logic,Not-Converted,ManageEmployeeAccessAsync,Implements IManageEmployeeAccess; sync → create IManageEmployeeAccessAsync + ManageEmployeeAccessAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageOrganization.cs,ManageOrganization,Logic,Not-Converted,ManageOrganizationAsync,Implements IManageOrganization; sync → create IManageOrganizationAsync + ManageOrganizationAsync; also wrapped by IOrganizationServiceAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageOrganizationProduct.cs,ManageOrganizationProduct,Logic,Not-Converted,ManageOrganizationProductAsync,Implements IManageOrganizationProduct; sync → create IManageOrganizationProductAsync + ManageOrganizationProductAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageCustomFields.cs,ManageCustomFields,Logic,Not-Converted,ManageCustomFieldsAsync,Implements IManageCustomFields; sync → create IManageCustomFieldsAsync + ManageCustomFieldsAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageUserLogin.cs,ManageUserLogin,Logic,Not-Converted,ManageUserLoginAsync,Implements IManageUserLogin; sync; hidden via new in multiple controllers → create IManageUserLoginAsync + ManageUserLoginAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManagePartyRelationship.cs,ManagePartyRelationship,Logic,Not-Converted,ManagePartyRelationshipAsync,Implements IManagePartyRelationship; sync → create IManagePartyRelationshipAsync + ManagePartyRelationshipAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManagePerson.cs,ManagePerson,Logic,Not-Converted,ManagePersonAsync,Implements IManagePerson; sync → create IManagePersonAsync + ManagePersonAsync
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManagePasswordPolicy.cs,ManagePasswordPolicy,Logic,Not-Converted,ManagePasswordPolicyAsync,Implements IManagePasswordPolicy; sync; superseded by ManagePasswordPolicyAsync — kept for backward compat; IManagePasswordPolicy DI registration preserved
UnifiedLogin.BusinessLogic,CoreMigration/UnifiedLogin.BusinessLogic/Logic/ManageProfile.cs,ManageProfile,Logic,Not-Converted,ProfileService,Implements IManageProfile; sync; IProfileService (Services/) covers this; hidden via new in ProfileController
